Disease ID,Disease Name,Baseline R@100,Augmented R@100,Improvement,Baseline MRR,Augmented MRR
C0026636,Mouth Diseases,0.05,0.0,-0.05,0.0010501901569439605,0.0005034763109244788
C0026640,Mouth Neoplasms,0.06999999999999999,0.045,-0.024999999999999994,0.002491252157418684,0.0029224492175536263
C0026650,Movement Disorders,0.0,0.0,0.0,0.0005066374553340624,0.0005390540481150583
C0026691,Mucocutaneous Lymph Node Syndrome,0.0,0.0,0.0,0.00020678553154436304,0.00025939346804440316
C0026764,Multiple Myeloma,0.025,0.025,0.0,0.0010686563632367387,0.001919900558175328
C0026769,Multiple Sclerosis,0.01111111111111111,0.0,-0.01111111111111111,0.0006740356356910404,0.00046240501617195726
C0026846,Muscular Atrophy,0.2,0.25,0.04999999999999999,0.0036673198922031816,0.009418166918833843
C0026848,Myopathy,0.0,0.0,0.0,0.0004448140234946596,0.0002996838024884155
C0027051,Myocardial Infarction,0.01111111111111111,0.02222222222222222,0.01111111111111111,0.001112898333581179,0.0012185543800852722
C0027055,Myocardial Reperfusion Injury,0.0,0.025,0.025,0.001248331604855994,0.0019193810932672598
C0027092,Myopia,0.0,0.0,0.0,0.0003699250707463684,0.0001862888101837305
C0027404,Narcolepsy,0.15,0.15,0.0,0.0024514415252137986,0.004013537778998452
C0027540,Necrosis,0.02,0.04,0.02,0.004287851428100725,0.0014466321313369253
C0027626,Neoplasm Invasiveness,0.0782051282051282,0.06282051282051283,-0.015384615384615372,0.004415469458735935,0.004087020287484898
C0027627,Neoplasm Metastasis,0.08681318681318681,0.058241758241758236,-0.028571428571428574,0.004298015824341738,0.003432119630537145
C0027643,"Neoplasm Recurrence, Local",0.13333333333333333,0.13333333333333333,0.0,0.009116905918810722,0.008796735864082441
C0027658,"Neoplasms, Germ Cell and Embryonal",0.0,0.0,0.0,0.00018443758239676493,0.00029105471110382335
C0027659,"Neoplasms, Experimental",0.05833333333333333,0.09166666666666665,0.03333333333333332,0.002336737681664405,0.002430745211527722
C0027672,"Neoplastic Syndromes, Hereditary",0.08,0.04,-0.04,0.0035286192621186395,0.002367915429155229
C0027707,"Nephritis, Interstitial",0.3,0.2,-0.09999999999999998,0.016790412600667062,0.01364739492737908
C0027708,Nephroblastoma,0.1,0.1,0.0,0.002642750407409201,0.0029725782314115527
C0027720,Nephrosis,0.0,0.05,0.05,0.0009824105434330071,0.00152211961763606
C0027726,Nephrotic Syndrome,0.05,0.05,0.0,0.0020299697528885856,0.002715198211436278
C0027746,Nerve Degeneration,0.06785714285714287,0.06785714285714287,0.0,0.007762029547203046,0.008444675931863502
